angle_cmd_deg,angle_actual_deg,freq_hz,re,im,mag_db,phase_deg
0.00,0.00,2000000000,2.998345622e-01,8.583546418e-01,-0.8267,70.7450
0.00,0.00,2010000000,5.898212993e-01,6.948341215e-01,-0.8056,49.6732
0.00,0.00,2020000000,8.044356633e-01,4.354844136e-01,-0.7740,28.4291
0.00,0.00,2030000000,9.097765061e-01,1.121082977e-01,-0.7559,7.0249
0.00,0.00,2040000000,8.870947194e-01,-2.278682484e-01,-0.7631,-14.4061
0.00,0.00,2050000000,7.412878326e-01,-5.334312373e-01,-0.7880,-35.7388
0.00,0.00,2060000000,4.969678441e-01,-7.629723063e-01,-0.8139,-56.9215
0.00,0.00,2070000000,1.887407299e-01,-8.896289422e-01,-0.8246,-78.0219
0.00,0.00,2080000000,-1.446171903e-01,-8.986663200e-01,-0.8170,-99.1419
0.00,0.00,2090000000,-4.609475134e-01,-7.869222688e-01,-0.8002,-120.3601
0.00,0.00,2100000000,-7.163729683e-01,-5.663173716e-01,-0.7888,-141.6724
0.00,0.00,2110000000,-8.731038282e-01,-2.666147736e-01,-0.7915,-163.0192
0.00,0.00,2120000000,-9.089788877e-01,6.862385466e-02,-0.8042,175.6826
0.00,0.00,2130000000,-8.210324302e-01,3.924298986e-01,-0.8192,154.4535
0.00,0.00,2140000000,-6.231358638e-01,6.619299731e-01,-0.8278,133.2709
0.00,0.00,2150000000,-3.417673906e-01,8.423287242e-01,-0.8285,112.0844
0.00,0.00,2160000000,-1.369339507e-02,9.092342412e-01,-0.8255,90.8628
0.00,0.00,2170000000,3.168389573e-01,8.525307126e-01,-0.8239,69.6127
0.00,0.00,2180000000,6.042394424e-01,6.794787128e-01,-0.8260,48.3543
0.00,0.00,2190000000,8.090138793e-01,4.141310417e-01,-0.8302,27.1077
0.00,0.00,2200000000,9.036628956e-01,9.295322216e-02,-0.8342,5.8729
0.00,0.00,2210000000,8.756500274e-01,-2.409002595e-01,-0.8365,-15.3821
0.00,0.00,2220000000,7.286233498e-01,-5.414721639e-01,-0.8403,-36.6177
0.00,0.00,2230000000,4.827956415e-01,-7.680642922e-01,-0.8459,-57.8470
0.00,0.00,2240000000,1.718442350e-01,-8.901622438e-01,-0.8517,-79.0736
0.00,0.00,2250000000,-1.614585983e-01,-8.916808038e-01,-0.8557,-100.2635
0.00,0.00,2260000000,-4.731099547e-01,-7.729582363e-01,-0.8550,-121.4698
0.00,0.00,2270000000,-7.212488942e-01,-5.495092040e-01,-0.8504,-142.6967
0.00,0.00,2280000000,-8.718346626e-01,-2.508376673e-01,-0.8459,-163.9488
0.00,0.00,2290000000,-9.030556709e-01,8.281914163e-02,-0.8493,174.7601
0.00,0.00,2300000000,-8.108121309e-01,4.043047346e-01,-0.8572,153.4972
0.00,0.00,2310000000,-6.088622020e-01,6.695321136e-01,-0.8672,132.2829
0.00,0.00,2320000000,-3.255543271e-01,8.436099936e-01,-0.8743,111.1019
0.00,0.00,2330000000,1.056790735e-03,9.046068352e-01,-0.8708,89.9331
0.00,0.00,2340000000,3.284620504e-01,8.437090260e-01,-0.8633,68.7287
0.00,0.00,2350000000,6.126238472e-01,6.677366620e-01,-0.8556,47.4648
0.00,0.00,2360000000,8.136726333e-01,3.996540061e-01,-0.8524,26.1590
